arm,pocket,receptor,mol_idx,score
critic_r0,complex_000001,complex_000001,16,-7.02283
critic_r0,complex_000001,complex_000001,17,-8.27389
critic_r0,complex_000001,complex_000001,18,-9.50032
critic_r0,complex_000001,complex_000001,19,-6.38481
critic_r0,complex_000059,complex_000292,0,-6.07491
critic_r0,complex_000059,complex_000292,1,-5.40105
critic_r0,complex_000059,complex_000292,2,-5.28379
critic_r0,complex_000059,complex_000292,3,-5.82786
critic_r0,complex_000059,complex_000292,4,-7.5339
critic_r0,complex_000059,complex_000292,5,-6.23818
critic_r0,complex_000059,complex_000292,6,-6.7685
critic_r0,complex_000059,complex_000292,7,-5.93772
critic_r0,complex_000059,complex_000292,8,-5.3006
critic_r0,complex_000059,complex_000292,9,-7.64427
critic_r0,complex_000059,complex_000292,10,-6.04835
critic_r0,complex_000059,complex_000292,11,-5.75221
critic_r0,complex_000059,complex_000292,12,-7.11688
critic_r0,complex_000059,complex_000292,13,-6.88515
critic_r0,complex_000059,complex_000292,14,-8.31007
critic_r0,complex_000059,complex_000292,15,-6.72163
critic_r0,complex_000059,complex_000292,16,-6.91132
critic_r0,complex_000059,complex_000292,17,-7.09543
critic_r0,complex_000059,complex_000292,18,-6.61264
critic_r0,complex_000059,complex_000292,19,-6.25996
critic_r0,complex_000026,complex_000001,0,-5.79545
critic_r0,complex_000026,complex_000001,1,-8.56179
critic_r0,complex_000026,complex_000001,2,-6.71994
critic_r0,complex_000026,complex_000001,3,-7.38942
critic_r0,complex_000026,complex_000001,4,-4.33866
critic_r0,complex_000026,complex_000001,5,-7.79177
critic_r0,complex_000026,complex_000001,6,-8.64156
critic_r0,complex_000026,complex_000001,7,-7.47775
critic_r0,complex_000026,complex_000001,8,-6.0864
critic_r0,complex_000026,complex_000001,9,-8.62067
critic_r0,complex_000026,complex_000001,10,-10.70078
critic_r0,complex_000026,complex_000001,11,-7.0281
critic_r0,complex_000026,complex_000001,12,-6.5112
critic_r0,complex_000026,complex_000001,13,-7.71802
critic_r0,complex_000026,complex_000001,14,-7.16761
critic_r0,complex_000026,complex_000001,15,-7.52949
critic_r0,complex_000026,complex_000001,16,-7.70571
critic_r0,complex_000026,complex_000001,17,-5.22962
critic_r0,complex_000026,complex_000001,18,-5.08883
critic_r0,complex_000026,complex_000001,19,-7.76016
critic_r0,complex_000026,complex_000026,0,-7.1105
critic_r0,complex_000026,complex_000026,1,-8.63558
critic_r0,complex_000026,complex_000026,2,-7.60618
critic_r0,complex_000026,complex_000026,3,-7.71649
critic_r0,complex_000026,complex_000026,4,-5.2003
critic_r0,complex_000026,complex_000026,5,-8.4824
critic_r0,complex_000026,complex_000026,6,-8.72916
critic_r0,complex_000026,complex_000026,7,-7.17635
critic_r0,complex_000026,complex_000026,8,-8.07467
critic_r0,complex_000026,complex_000026,9,-8.63138
critic_r0,complex_000026,complex_000026,10,-9.60132
critic_r0,complex_000026,complex_000026,11,-7.80255
critic_r0,complex_000026,complex_000026,12,-6.561
critic_r0,complex_000026,complex_000026,13,-9.02534
critic_r0,complex_000026,complex_000026,14,-8.78472
critic_r0,complex_000026,complex_000026,15,-7.84528
critic_r0,complex_000026,complex_000026,16,-9.48771
critic_r0,complex_000026,complex_000026,17,-5.33051
critic_r0,complex_000026,complex_000026,18,-5.7214
critic_r0,complex_000026,complex_000026,19,-8.22697
critic_r0,complex_000001,complex_000411,0,-8.27445
critic_r0,complex_000001,complex_000411,1,-6.10583
critic_r0,complex_000001,complex_000411,2,-7.76202
critic_r0,complex_000001,complex_000411,3,-7.67526
critic_r0,complex_000001,complex_000411,4,-6.28749
critic_r0,complex_000001,complex_000411,5,-7.91107
critic_r0,complex_000001,complex_000411,6,-5.65582
critic_r0,complex_000001,complex_000411,7,-6.75365
critic_r0,complex_000001,complex_000411,8,-4.89655
critic_r0,complex_000001,complex_000411,9,-9.41141
critic_r0,complex_000001,complex_000411,10,-9.82108
critic_r0,complex_000001,complex_000411,11,-9.17073
critic_r0,complex_000001,complex_000411,12,-9.49387
critic_r0,complex_000001,complex_000411,13,-7.9739
critic_r0,complex_000001,complex_000411,14,-7.12638
critic_r0,complex_000001,complex_000411,15,-8.73171
critic_r0,complex_000001,complex_000411,16,-7.19828
critic_r0,complex_000001,complex_000411,17,-7.2121
critic_r0,complex_000001,complex_000411,18,-8.10151
critic_r0,complex_000001,complex_000411,19,-7.1017
critic_r0,complex_000026,complex_000051,0,-6.27116
critic_r0,complex_000026,complex_000051,1,-7.52107
critic_r0,complex_000026,complex_000051,2,-7.04496
critic_r0,complex_000026,complex_000051,3,-7.51493
critic_r0,complex_000026,complex_000051,4,-4.82642
critic_r0,complex_000026,complex_000051,5,-8.47819
critic_r0,complex_000026,complex_000051,6,-9.56978
critic_r0,complex_000026,complex_000051,7,-7.77044
critic_r0,complex_000026,complex_000051,8,-7.57385
critic_r0,complex_000026,complex_000051,9,-8.68411
critic_r0,complex_000026,complex_000051,10,-3.77239
critic_r0,complex_000026,complex_000051,11,-7.51878
critic_r0,complex_000026,complex_000051,12,-7.49296
critic_r0,complex_000026,complex_000051,13,-8.50329
critic_r0,complex_000026,complex_000051,14,-8.03606
critic_r0,complex_000026,complex_000051,15,-7.78779
critic_r0,complex_000026,complex_000051,16,-8.94825
critic_r0,complex_000026,complex_000051,17,-4.88748
critic_r0,complex_000026,complex_000051,18,-5.42388
critic_r0,complex_000026,complex_000051,19,-7.9896
critic_r0,complex_000085,complex_000085,0,-8.45133
critic_r0,complex_000085,complex_000085,1,-9.25412
critic_r0,complex_000085,complex_000085,2,-8.32442
critic_r0,complex_000085,complex_000085,3,-9.14126
critic_r0,complex_000085,complex_000085,4,-10.17567
critic_r0,complex_000085,complex_000085,5,-10.65116
critic_r0,complex_000085,complex_000085,6,-8.28847
critic_r0,complex_000085,complex_000085,7,-9.83195
critic_r0,complex_000085,complex_000085,8,-10.11727
critic_r0,complex_000085,complex_000085,9,-12.13354
critic_r0,complex_000085,complex_000085,10,-8.54449
critic_r0,complex_000085,complex_000085,11,-9.33522
critic_r0,complex_000085,complex_000085,12,-5.37751
critic_r0,complex_000085,complex_000085,13,-10.0387
critic_r0,complex_000085,complex_000085,14,-9.23375
critic_r0,complex_000085,complex_000085,15,-9.42668
critic_r0,complex_000085,complex_000085,16,-8.07012
critic_r0,complex_000085,complex_000085,17,-7.47732
critic_r0,complex_000085,complex_000085,18,-11.55055
critic_r0,complex_000085,complex_000085,19,-10.90808
critic_r0,complex_000112,complex_000149,0,-8.68283
critic_r0,complex_000112,complex_000149,1,-5.24662
critic_r0,complex_000112,complex_000149,2,-8.65669
critic_r0,complex_000112,complex_000149,3,-9.9564
critic_r0,complex_000112,complex_000149,4,-5.25791
critic_r0,complex_000112,complex_000149,5,-7.34662
critic_r0,complex_000112,complex_000149,6,-7.10438
critic_r0,complex_000112,complex_000149,7,-9.65727
critic_r0,complex_000112,complex_000149,8,-7.86364
critic_r0,complex_000112,complex_000149,9,-6.19482
critic_r0,complex_000112,complex_000149,10,-7.8497
critic_r0,complex_000112,complex_000149,11,-7.21969
critic_r0,complex_000112,complex_000149,12,-8.34769
critic_r0,complex_000112,complex_000149,13,-7.49339
critic_r0,complex_000112,complex_000149,14,-7.55949
critic_r0,complex_000112,complex_000149,15,-8.29701
critic_r0,complex_000112,complex_000149,16,-9.60607
critic_r0,complex_000112,complex_000149,17,-5.71832
critic_r0,complex_000112,complex_000149,18,-8.62983
critic_r0,complex_000112,complex_000149,19,-6.85104
critic_r0,complex_000112,complex_000112,0,-7.46264
critic_r0,complex_000112,complex_000112,1,-6.53457
critic_r0,complex_000112,complex_000112,2,-8.87082
critic_r0,complex_000112,complex_000112,3,-8.92282
critic_r0,complex_000112,complex_000112,4,-5.18103
critic_r0,complex_000112,complex_000112,5,-7.2431
critic_r0,complex_000112,complex_000112,6,-6.89028
critic_r0,complex_000112,complex_000112,7,-8.35853
critic_r0,complex_000112,complex_000112,8,-7.84313
critic_r0,complex_000112,complex_000112,9,-6.48195
critic_r0,complex_000112,complex_000112,10,-7.276
critic_r0,complex_000112,complex_000112,11,-6.48412
critic_r0,complex_000112,complex_000112,12,-6.61706
critic_r0,complex_000112,complex_000112,13,-6.62996
critic_r0,complex_000112,complex_000112,14,-6.705
