pocket,displacement,tanimoto,recall,error
complex_000051,3.0,0.32142857142857145,0.42857142857142855,
complex_000051,3.0,0.37037037037037035,0.47619047619047616,
complex_000051,3.0,0.4444444444444444,0.5714285714285714,
complex_000051,3.0,0.48,0.5714285714285714,
complex_000051,3.0,0.2857142857142857,0.38095238095238093,
complex_000059,0.5,0.5384615384615384,0.7777777777777778,
complex_000059,0.5,0.5833333333333334,0.7777777777777778,
complex_000059,0.5,0.7,0.7777777777777778,
complex_000059,0.5,0.5454545454545454,0.6666666666666666,
complex_000059,0.5,0.6,0.6666666666666666,
complex_000059,0.5,0.46153846153846156,0.6666666666666666,
complex_000059,0.5,0.5833333333333334,0.7777777777777778,
complex_000059,0.5,0.6666666666666666,0.8888888888888888,
complex_000059,0.5,0.5454545454545454,0.6666666666666666,
complex_000059,0.5,0.5454545454545454,0.6666666666666666,
complex_000059,0.5,0.6666666666666666,0.8888888888888888,
complex_000059,0.5,0.6363636363636364,0.7777777777777778,
complex_000059,1.0,0.4,0.6666666666666666,
complex_000059,1.0,0.3333333333333333,0.5555555555555556,
complex_000059,1.0,0.46153846153846156,0.6666666666666666,
complex_000059,1.0,0.42857142857142855,0.6666666666666666,
complex_000059,1.0,0.6153846153846154,0.8888888888888888,
complex_000059,1.0,0.3333333333333333,0.5555555555555556,
complex_000059,1.0,0.23076923076923078,0.3333333333333333,
complex_000059,1.0,0.15384615384615385,0.2222222222222222,
complex_000059,1.0,0.6923076923076923,1.0,
complex_000059,1.0,0.5,0.7777777777777778,
complex_000059,1.0,0.42857142857142855,0.6666666666666666,
complex_000059,1.0,0.6153846153846154,0.8888888888888888,
complex_000059,2.0,0.26666666666666666,0.4444444444444444,
complex_000059,2.0,0.1875,0.3333333333333333,
complex_000059,2.0,0.06666666666666667,0.1111111111111111,
complex_000059,2.0,0.15789473684210525,0.3333333333333333,
complex_000059,2.0,0.23076923076923078,0.3333333333333333,
complex_000059,2.0,0.26666666666666666,0.4444444444444444,
complex_000059,2.0,0.3333333333333333,0.5555555555555556,
complex_000059,2.0,0.125,0.2222222222222222,
complex_000059,2.0,0.21428571428571427,0.3333333333333333,
complex_000059,2.0,0.07692307692307693,0.1111111111111111,
complex_000059,2.0,0.3333333333333333,0.5555555555555556,
complex_000059,2.0,0.46153846153846156,0.6666666666666666,
complex_000059,3.0,0.26666666666666666,0.4444444444444444,
complex_000059,3.0,0.3333333333333333,0.5555555555555556,
complex_000059,3.0,0.23529411764705882,0.4444444444444444,
complex_000059,3.0,0.11764705882352941,0.2222222222222222,
complex_000059,3.0,0.05555555555555555,0.1111111111111111,
complex_000059,3.0,0.25,0.4444444444444444,
complex_000059,3.0,0.5384615384615384,0.7777777777777778,
complex_000059,3.0,0.25,0.4444444444444444,
complex_000059,3.0,0.17647058823529413,0.3333333333333333,
complex_000059,3.0,0.3125,0.5555555555555556,
complex_000059,3.0,0.38461538461538464,0.5555555555555556,
complex_000059,3.0,0.1875,0.3333333333333333,
complex_000063,0.5,0.5555555555555556,0.625,
complex_000063,0.5,0.75,0.75,
complex_000063,0.5,0.875,0.875,
complex_000063,0.5,1.0,1.0,
complex_000063,0.5,1.0,1.0,
complex_000063,0.5,0.75,0.75,
complex_000063,0.5,0.875,0.875,
complex_000063,0.5,0.875,0.875,
complex_000063,0.5,0.625,0.625,
complex_000063,0.5,0.875,0.875,
complex_000063,0.5,1.0,1.0,
complex_000063,0.5,1.0,1.0,
complex_000063,1.0,0.375,0.375,
complex_000063,1.0,0.6,0.75,
complex_000063,1.0,0.3333333333333333,0.375,
complex_000063,1.0,0.75,0.75,
complex_000063,1.0,0.625,0.625,
complex_000063,1.0,0.3333333333333333,0.375,
complex_000063,1.0,0.75,0.75,
complex_000063,1.0,0.75,0.75,
complex_000063,1.0,0.7,0.875,
complex_000063,1.0,0.875,0.875,
complex_000063,1.0,0.6363636363636364,0.875,
complex_000063,1.0,0.7,0.875,
complex_000063,2.0,0.16666666666666666,0.25,
complex_000063,2.0,0.25,0.375,
complex_000063,2.0,0.5,0.75,
complex_000063,2.0,0.25,0.375,
complex_000063,2.0,0.5454545454545454,0.75,
complex_000063,2.0,0.2,0.25,
complex_000063,2.0,0.375,0.375,
complex_000063,2.0,0.09090909090909091,0.125,
complex_000063,2.0,0.4,0.5,
complex_000063,2.0,0.5555555555555556,0.625,
complex_000063,2.0,0.5555555555555556,0.625,
complex_000063,2.0,0.6666666666666666,0.75,
complex_000063,3.0,0.2857142857142857,0.5,
complex_000063,3.0,0.5833333333333334,0.875,
complex_000063,3.0,0.38461538461538464,0.625,
complex_000063,3.0,0.08333333333333333,0.125,
complex_000063,3.0,0.2222222222222222,0.25,
complex_000063,3.0,0.1111111111111111,0.125,
complex_000063,3.0,0.0,0.0,
complex_000063,3.0,0.0,0.0,
complex_000063,3.0,0.13333333333333333,0.25,
complex_000063,3.0,0.09090909090909091,0.125,
complex_000063,3.0,0.3076923076923077,0.5,
complex_000063,3.0,0.4,0.5,
complex_000069,0.5,0.8,0.8,
complex_000069,0.5,0.8,0.8,
complex_000069,0.5,0.875,0.9333333333333333,
complex_000069,0.5,0.8666666666666667,0.8666666666666667,
complex_000069,0.5,0.8125,0.8666666666666667,
complex_000069,0.5,0.8666666666666667,0.8666666666666667,
complex_000069,0.5,0.8666666666666667,0.8666666666666667,
complex_000069,0.5,0.8125,0.8666666666666667,
complex_000069,0.5,0.7333333333333333,0.7333333333333333,
complex_000069,0.5,0.8,0.8,
complex_000069,0.5,0.875,0.9333333333333333,
complex_000069,0.5,0.8666666666666667,0.8666666666666667,
