pocket,tanimoto,recall,error
complex_000051,0.20689655172413793,0.2857142857142857,
complex_000051,0.2571428571428571,0.42857142857142855,
complex_000059,0.1875,0.3333333333333333,
complex_000059,0.1,0.2222222222222222,
complex_000059,0.3684210526315789,0.7777777777777778,
complex_000059,0.26666666666666666,0.4444444444444444,
complex_000059,0.2857142857142857,0.6666666666666666,
complex_000059,0.14285714285714285,0.2222222222222222,
complex_000059,0.19230769230769232,0.5555555555555556,
complex_000059,0.11764705882352941,0.2222222222222222,
complex_000059,0.14285714285714285,0.3333333333333333,
complex_000059,0.17647058823529413,0.3333333333333333,
complex_000059,0.16666666666666666,0.3333333333333333,
complex_000059,0.21052631578947367,0.4444444444444444,
complex_000059,0.2777777777777778,0.5555555555555556,
complex_000059,0.06666666666666667,0.1111111111111111,
complex_000059,0.25,0.4444444444444444,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.16666666666666666,0.3333333333333333,
complex_000059,0.2777777777777778,0.5555555555555556,
complex_000059,0.125,0.2222222222222222,
complex_000059,0.07142857142857142,0.1111111111111111,
complex_000059,0.09090909090909091,0.2222222222222222,
complex_000059,0.1875,0.3333333333333333,
complex_000059,0.15384615384615385,0.4444444444444444,
complex_000059,0.25,0.4444444444444444,
complex_000059,0.15789473684210525,0.3333333333333333,
complex_000059,0.23809523809523808,0.5555555555555556,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.2631578947368421,0.5555555555555556,
complex_000059,0.17647058823529413,0.3333333333333333,
complex_000059,0.26666666666666666,0.4444444444444444,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.16666666666666666,0.3333333333333333,
complex_000059,0.23076923076923078,0.3333333333333333,
complex_000059,0.10526315789473684,0.2222222222222222,
complex_000059,0.26666666666666666,0.4444444444444444,
complex_000059,0.3125,0.5555555555555556,
complex_000059,0.21428571428571427,0.3333333333333333,
complex_000059,0.17391304347826086,0.4444444444444444,
complex_000059,0.16666666666666666,0.4444444444444444,
complex_000059,0.3333333333333333,0.6666666666666666,
complex_000059,0.23076923076923078,0.3333333333333333,
complex_000059,0.19047619047619047,0.4444444444444444,
complex_000059,0.21428571428571427,0.3333333333333333,
complex_000059,0.25,0.4444444444444444,
complex_000059,0.23529411764705882,0.4444444444444444,
complex_000059,0.2,0.4444444444444444,
complex_000059,0.13333333333333333,0.2222222222222222,
complex_000059,0.2,0.3333333333333333,
complex_000059,0.23809523809523808,0.5555555555555556,
complex_000059,0.13043478260869565,0.3333333333333333,
complex_000059,0.17647058823529413,0.3333333333333333,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.14285714285714285,0.2222222222222222,
complex_000059,0.23529411764705882,0.4444444444444444,
complex_000059,0.10526315789473684,0.2222222222222222,
complex_000059,0.125,0.2222222222222222,
complex_000059,0.16666666666666666,0.2222222222222222,
complex_000059,0.21428571428571427,0.3333333333333333,
complex_000059,0.16666666666666666,0.3333333333333333,
complex_000059,0.23529411764705882,0.4444444444444444,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.2,0.3333333333333333,
complex_000059,0.2,0.4444444444444444,
complex_000059,0.17647058823529413,0.3333333333333333,
complex_000059,0.2,0.3333333333333333,
complex_000059,0.15,0.3333333333333333,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.25,0.4444444444444444,
complex_000059,0.125,0.2222222222222222,
complex_000059,0.13333333333333333,0.2222222222222222,
complex_000059,0.06666666666666667,0.1111111111111111,
complex_000059,0.23076923076923078,0.3333333333333333,
complex_000059,0.15,0.3333333333333333,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.125,0.2222222222222222,
complex_000059,0.23076923076923078,0.3333333333333333,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.19047619047619047,0.4444444444444444,
complex_000059,0.2857142857142857,0.4444444444444444,
complex_000059,0.25,0.5555555555555556,
complex_000059,0.19047619047619047,0.4444444444444444,
complex_000059,0.21052631578947367,0.4444444444444444,
complex_000059,0.23529411764705882,0.4444444444444444,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.35714285714285715,0.5555555555555556,
complex_000059,0.15384615384615385,0.2222222222222222,
complex_000059,0.11764705882352941,0.2222222222222222,
complex_000059,0.2,0.3333333333333333,
complex_000059,0.26666666666666666,0.4444444444444444,
complex_000059,0.15384615384615385,0.2222222222222222,
complex_000059,0.13333333333333333,0.2222222222222222,
complex_000059,0.21428571428571427,0.3333333333333333,
complex_000059,0.22727272727272727,0.5555555555555556,
complex_000059,0.16666666666666666,0.3333333333333333,
complex_000059,0.23529411764705882,0.4444444444444444,
complex_000059,0.2222222222222222,0.4444444444444444,
complex_000059,0.17647058823529413,0.3333333333333333,
complex_000059,0.19047619047619047,0.4444444444444444,
complex_000063,0.4,0.5,
complex_000063,0.4444444444444444,0.5,
complex_000063,0.3333333333333333,0.5,
complex_000063,0.16666666666666666,0.25,
complex_000063,0.125,0.125,
complex_000063,0.21052631578947367,0.5,
complex_000063,0.3076923076923077,0.5,
complex_000063,0.46153846153846156,0.75,
complex_000063,0.25,0.5,
complex_000063,0.25,0.25,
complex_000063,0.375,0.375,
complex_000063,0.21052631578947367,0.5,
complex_000063,0.2222222222222222,0.25,
complex_000063,0.46153846153846156,0.75,
