pocket,displacement,tanimoto,recall
complex_000117,3.0,0.18181818181818182,0.25
complex_000117,3.0,0.45454545454545453,0.625
complex_000117,3.0,0.38461538461538464,0.625
complex_000140,0.5,0.9,0.9
complex_000140,0.5,0.9047619047619048,0.95
complex_000140,0.5,0.95,0.95
complex_000140,0.5,1.0,1.0
complex_000140,0.5,0.8571428571428571,0.9
complex_000140,0.5,0.9,0.9
complex_000140,0.5,0.95,0.95
complex_000140,0.5,0.8571428571428571,0.9
complex_000140,0.5,0.9047619047619048,0.95
complex_000140,0.5,1.0,1.0
complex_000140,0.5,1.0,1.0
complex_000140,0.5,1.0,1.0
complex_000140,1.0,0.9047619047619048,0.95
complex_000140,1.0,0.8095238095238095,0.85
complex_000140,1.0,0.6818181818181818,0.75
complex_000140,1.0,0.8095238095238095,0.85
complex_000140,1.0,0.7619047619047619,0.8
complex_000140,1.0,0.9,0.9
complex_000140,1.0,0.7619047619047619,0.8
complex_000140,1.0,0.85,0.85
complex_000140,1.0,0.75,0.75
complex_000140,1.0,0.7142857142857143,0.75
complex_000140,1.0,0.8571428571428571,0.9
complex_000140,1.0,0.7142857142857143,0.75
complex_000140,2.0,0.45454545454545453,0.5
complex_000140,2.0,0.6190476190476191,0.65
complex_000140,2.0,0.5454545454545454,0.6
complex_000140,2.0,0.45454545454545453,0.5
complex_000140,2.0,0.7391304347826086,0.85
complex_000140,2.0,0.5238095238095238,0.55
complex_000140,2.0,0.5714285714285714,0.6
complex_000140,2.0,0.6666666666666666,0.7
complex_000140,2.0,0.5454545454545454,0.6
complex_000140,2.0,0.55,0.55
complex_000140,2.0,0.5909090909090909,0.65
complex_000140,2.0,0.47619047619047616,0.5
complex_000140,3.0,0.47619047619047616,0.5
complex_000140,3.0,0.45454545454545453,0.5
complex_000140,3.0,0.4583333333333333,0.55
complex_000140,3.0,0.5454545454545454,0.6
complex_000140,3.0,0.6190476190476191,0.65
complex_000140,3.0,0.6363636363636364,0.7
complex_000140,3.0,0.6190476190476191,0.65
complex_000140,3.0,0.43478260869565216,0.5
complex_000140,3.0,0.2916666666666667,0.35
complex_000140,3.0,0.375,0.45
complex_000140,3.0,0.391304347826087,0.45
