batch,slot,critic_lambda20,control_r0,critic_r0
716,0,0.0016858577728271484,0.005450010299682617,0.0036644935607910156
716,1,0.0005352497100830078,0.00018972158432006836,0.00033283233642578125
717,0,0.0027840137481689453,0.0011343955993652344,0.0013244152069091797
718,0,0.0009020566940307617,0.0007398128509521484,0.0007353425025939941
720,0,0.00174713134765625,0.0002561807632446289,0.0003662109375
722,0,0.00010418891906738281,3.2067298889160156e-05,2.5272369384765625e-05
723,0,0.010756373405456543,0.009750127792358398,0.00792461633682251
727,0,0.0003349781036376953,8.392333984375e-05,0.00011420249938964844
730,0,2.5391578674316406e-05,1.4543533325195312e-05,8.702278137207031e-06
731,0,0.004839539527893066,0.00764012336730957,0.004631638526916504
732,0,3.1888484954833984e-05,2.9802322387695312e-05,5.4955482482910156e-05
734,0,0.0011161565780639648,0.0010845065116882324,0.0012665987014770508
734,1,0.00027436017990112305,0.00016051530838012695,0.00012242794036865234
735,0,0.0018674135208129883,0.004955649375915527,0.004109084606170654
736,0,0.022220611572265625,0.020820975303649902,0.022518813610076904
739,0,0.0005632638931274414,0.0011058449745178223,0.0006833076477050781
741,0,0.00010085105895996094,0.00010192394256591797,0.00018107891082763672
746,0,0.0003516077995300293,0.0004426240921020508,0.0003268718719482422
747,0,0.001386880874633789,0.0017114877700805664,0.002619504928588867
747,1,0.006172239780426025,0.007530808448791504,0.006152749061584473
748,0,0.000984787940979004,0.0017552971839904785,0.0024623870849609375
748,1,0.006268620491027832,0.007389426231384277,0.007215917110443115
754,0,0.0005540847778320312,0.0005662441253662109,0.0009562969207763672
755,0,0.00016516447067260742,0.00015372037887573242,0.00014454126358032227
755,1,0.0013724565505981445,0.001563429832458496,0.001529097557067871
756,0,0.00015175342559814453,0.00020396709442138672,0.00014722347259521484
761,0,7.903575897216797e-05,6.908178329467773e-05,9.077787399291992e-05
766,0,0.00021022558212280273,0.0007526874542236328,0.0005869865417480469
767,0,0.014498114585876465,0.02397322654724121,0.016141057014465332
771,0,0.01376032829284668,0.017338693141937256,0.014917373657226562
773,0,0.0016058683395385742,0.0009393692016601562,0.00037229061126708984
775,0,0.001133561134338379,0.0034071803092956543,0.002139568328857422
776,0,0.03730118274688721,0.03466641902923584,0.03459322452545166
781,0,6.181001663208008e-05,6.020069122314453e-05,5.894899368286133e-05
782,0,0.0009008646011352539,0.0010482072830200195,0.0002721548080444336
784,0,0.0020446181297302246,0.0015653371810913086,0.001407623291015625
786,0,0.0002365708351135254,0.0001455545425415039,0.00018858909606933594
787,0,0.0005715489387512207,0.00031828880310058594,0.00039321184158325195
789,0,0.0047986507415771484,0.005795300006866455,0.005294442176818848
793,0,2.3066997528076172e-05,4.208087921142578e-05,1.519918441772461e-05
795,0,0.002552032470703125,0.002612590789794922,0.0017504692077636719
799,0,0.012119472026824951,0.013428211212158203,0.010805010795593262
802,0,0.002986907958984375,0.003011047840118408,0.0032938122749328613
802,1,0.0005417466163635254,0.0003593564033508301,0.00043517351150512695
804,0,8.14199447631836e-05,4.458427429199219e-05,9.268522262573242e-05
804,1,0.000729680061340332,0.0007426738739013672,0.0007593631744384766
807,0,0.0007493495941162109,0.0010535717010498047,0.0010111331939697266
808,0,0.0008592605590820312,0.0006448030471801758,0.000624537467956543
809,0,0.0033936500549316406,0.0028001070022583008,0.002950131893157959
811,0,0.00016808509826660156,0.00014787912368774414,0.00027489662170410156
817,0,0.0015192031860351562,0.0013466477394104004,0.0012816190719604492
820,0,0.00021475553512573242,0.0001907944679260254,0.00015348196029663086
822,0,0.00025278329849243164,0.0006642341613769531,0.0006458759307861328
823,0,0.01638317108154297,0.014524519443511963,0.01741713285446167
825,0,0.0004017353057861328,0.0016640424728393555,0.0006067752838134766
828,0,0.0026033520698547363,0.000946044921875,0.0014808177947998047
829,0,0.0008508563041687012,0.0015317201614379883,0.0007994771003723145
830,0,0.0004411935806274414,0.0005307197570800781,0.0007090568542480469
834,0,0.00023233890533447266,0.00016224384307861328,0.0002442002296447754
835,0,0.04952496290206909,0.059270262718200684,0.048331260681152344
842,0,0.0004401206970214844,0.0004105567932128906,0.0001266002655029297
