batch,slot,critic_r0,control_r0,critic_r1,control_r1,critic_r2,control_r2
136,0,0.00017875432968139648,0.00011342763900756836,0.0003574490547180176,0.00021463632583618164,0.0001302957534790039,0.0005741119384765625
136,1,9.816884994506836e-05,0.00023233890533447266,0.00029480457305908203,0.00014579296112060547,0.00014388561248779297,5.894899368286133e-05
138,0,0.0005608797073364258,0.0006093382835388184,0.0006865859031677246,0.0005699992179870605,0.0006639361381530762,0.0006355047225952148
139,0,0.0046242475509643555,0.004192471504211426,0.003562629222869873,0.0031922459602355957,0.004149317741394043,0.003468632698059082
139,1,0.00042188167572021484,0.0005646944046020508,0.0005657076835632324,0.0006310343742370605,0.0005095005035400391,0.0005475282669067383
141,0,0.0023599863052368164,0.0031971335411071777,0.003230571746826172,0.0027111172676086426,0.0034082531929016113,0.00349271297454834
146,0,0.0002703666687011719,0.0004608035087585449,0.0003476738929748535,0.0002524256706237793,0.00017654895782470703,0.00028705596923828125
148,0,0.0009905099868774414,0.0005470514297485352,0.0007291436195373535,0.00033658742904663086,0.0010629892349243164,0.0006349682807922363
148,1,7.587671279907227e-05,9.834766387939453e-05,9.02414321899414e-05,7.659196853637695e-05,9.846687316894531e-05,0.00010150671005249023
149,0,0.004570484161376953,0.0070999860763549805,0.0047686100006103516,0.007392168045043945,0.00621950626373291,0.006703376770019531
150,0,0.0012611150741577148,0.0014521479606628418,0.0012413263320922852,0.0010548233985900879,0.0014687180519104004,0.00136566162109375
151,0,0.0001423358917236328,0.00013077259063720703,6.35981559753418e-05,9.077787399291992e-05,0.00010842084884643555,0.00017845630645751953
156,0,0.00014674663543701172,0.0001538991928100586,0.000125885009765625,0.0001392364501953125,0.0001208186149597168,0.0001742839813232422
158,0,4.774332046508789e-05,0.0009733438491821289,0.00028836727142333984,0.0001361370086669922,0.0009137392044067383,0.0002009868621826172
159,0,0.0006313323974609375,0.0003237724304199219,0.000265657901763916,0.00023627281188964844,0.00029546022415161133,0.0002655982971191406
160,0,0.0007182955741882324,0.0011138319969177246,0.0013875961303710938,0.0010199546813964844,0.001828908920288086,0.0014650225639343262
161,0,0.0026444196701049805,0.002559185028076172,0.0013518333435058594,0.001354992389678955,0.0019909143447875977,0.003198862075805664
165,0,0.0002580881118774414,0.00022721290588378906,0.0001545548439025879,0.00018286705017089844,0.00026702880859375,0.00024265050888061523
167,0,0.0030019283294677734,0.0020226240158081055,0.0010226964950561523,0.0029692649841308594,0.0017963647842407227,0.001125931739807129
168,0,0.015169262886047363,0.014147043228149414,0.007219791412353516,0.012836217880249023,0.014712214469909668,0.01286160945892334
169,0,0.016751408576965332,0.023915767669677734,0.019492268562316895,0.017126619815826416,0.019553840160369873,0.017831087112426758
170,0,0.0008447170257568359,0.0010004043579101562,0.0010520219802856445,0.0007625818252563477,0.0011042356491088867,0.0006183385848999023
172,0,0.0011217594146728516,0.0012003183364868164,0.001145005226135254,0.001258254051208496,0.000996232032775879,0.0011563301086425781
179,0,0.0001704692840576172,0.0002338886260986328,0.0002346038818359375,0.00019931793212890625,0.00014716386795043945,0.0003548860549926758
179,1,0.00011110305786132812,5.048513412475586e-05,0.00012362003326416016,9.649991989135742e-05,5.245208740234375e-05,8.463859558105469e-05
180,0,0.038842082023620605,0.03302609920501709,0.038678884506225586,0.03283339738845825,0.04010939598083496,0.04327434301376343
181,0,0.00041753053665161133,0.00022673606872558594,0.0004031658172607422,0.000520169734954834,0.0006757378578186035,0.0004368424415588379
182,0,0.0008696913719177246,0.0010303258895874023,0.0008195638656616211,9.912252426147461e-05,0.00023365020751953125,0.0015066266059875488
184,0,3.2186508178710938e-06,2.6226043701171875e-06,2.6226043701171875e-06,3.4570693969726562e-06,2.7418136596679688e-06,5.4836273193359375e-06
189,0,0.0023485422134399414,0.0024297237396240234,0.0013950467109680176,0.003161907196044922,0.0023734569549560547,0.0025923848152160645
190,0,8.678436279296875e-05,0.0001443028450012207,9.906291961669922e-05,0.0001258254051208496,0.00010728836059570312,0.00015693902969360352
191,0,0.0029498934745788574,0.0037196874618530273,0.00341188907623291,0.0036956071853637695,0.004426419734954834,0.0036505460739135742
193,0,0.00040990114212036133,0.0004267096519470215,0.0003905296325683594,0.00044542551040649414,0.0004404783248901367,0.00042635202407836914
194,0,0.005417227745056152,0.008173227310180664,0.009023427963256836,0.010364890098571777,0.0079498291015625,0.009186983108520508
195,0,0.0024763941764831543,0.002471327781677246,0.0026134252548217773,0.002306222915649414,0.002765059471130371,0.002849280834197998
195,1,0.0019426941871643066,0.0026473402976989746,0.0017709732055664062,0.0027971863746643066,0.0034180879592895508,0.00289762020111084
199,0,0.003225088119506836,0.003914058208465576,0.004599153995513916,0.0032150745391845703,0.0030754804611206055,0.0044248104095458984
206,0,9.40561294555664e-05,9.560585021972656e-05,0.00012511014938354492,0.00012630224227905273,0.00010228157043457031,0.00012290477752685547
207,0,0.005941987037658691,0.006712079048156738,0.0061629414558410645,0.005691945552825928,0.007214725017547607,0.0056989192962646484
208,0,5.435943603515625e-05,3.62396240234375e-05,3.540515899658203e-05,2.9742717742919922e-05,3.24249267578125e-05,2.396106719970703e-05
213,0,0.0002493858337402344,0.0008373260498046875,0.0006528496742248535,0.0009203553199768066,0.0005216002464294434,0.0004055500030517578
214,0,0.0005603432655334473,0.00033980607986450195,0.0007068514823913574,0.0005025267601013184,0.0005584955215454102,0.0004156827926635742
214,1,0.003621995449066162,0.0025101900100708008,0.00039392709732055664,0.0017139911651611328,0.00112992525100708,0.0007929801940917969
215,0,0.00033736228942871094,3.6597251892089844e-05,0.000186920166015625,4.589557647705078e-05,0.00043660402297973633,0.00019890069961547852
